#,Index No,Result
1,19000138,F
2,19001363,C
3,20000014,A+
4,20000022,A
5,20000032,D
6,20000049,B+
7,20000057,A
8,20000065,B+
9,20000073,A+
10,20000081,A
11,20000091,B+
12,20000103,A
13,20000111,A
14,20000121,D
15,20000138,D+
16,20000146,A+
17,20000154,A
18,20000162,A+
19,20000172,A+
20,20000189,B+
21,20000197,A
22,20000202,A-
23,20000219,A
24,20000227,A
25,20000235,D+
26,20000243,B+
27,20000251,A+
28,20000261,D+
29,20000278,B
30,20000286,A+
31,20000294,F
32,20000308,A
33,20000316,A+
34,20000324,B-
35,20000332,A
36,20000342,B+
37,20000359,A
38,20000367,A+
39,20000375,A
40,20000383,A-
41,20000391,A
42,20000405,A
43,20000413,A+
44,20000421,A
45,20000431,A
46,20000448,A
47,20000456,B
48,20000464,D
49,20000472,A-
50,20000482,A
51,20000499,A+
52,20000502,B+
53,20000512,A+
54,20000529,B+
55,20000537,A
56,20000545,A+
57,20000553,A-
58,20000561,F
59,20000571,A-
60,20000588,B+
61,20000596,A-
62,20000601,A
63,20000618,A+
64,20000626,A-
65,20000634,A
66,20000642,A
67,20000652,A-
68,20000669,A+
69,20000677,C+
70,20000685,A-
71,20000693,A
72,20000707,B+
73,20000715,A
74,20000723,A
75,20000731,B-
76,20000741,A+
77,20000758,B
78,20000766,A
79,20000774,B+
80,20000782,A+
81,20000792,A+
82,20000804,A+
83,20000812,A-
84,20000822,A
85,20000839,C+
86,20000847,A
87,20000855,B+
88,20000863,B
89,20000871,F
90,20000881,B
91,20000898,C+
92,20000901,A
93,20000911,A-
94,20000928,A+
95,20000936,C+
96,20000944,A
97,20000952,A-
98,20000962,A
99,20000979,C
100,20000987,A
101,20000995,A
102,20001002,A
103,20001012,D
104,20001029,B+
105,20001037,B+
106,20001045,B+
107,20001053,A
108,20001061,A
109,20001071,A-
110,20001088,F
111,20001096,C
112,20001101,B
113,20001118,A
114,20001126,B
115,20001134,A
116,20001142,B+
117,20001152,C+
118,20001169,B+
119,20001177,A-
120,20001185,B
121,20001193,A+
122,20001207,A
123,20001215,B
124,20001223,A+
125,20001231,A+
126,20001241,C
127,20001258,A-
128,20001266,A-
129,20001274,E
130,20001282,F
131,20001292,A
132,20001304,A-
133,20001312,A-
134,20001322,B
135,20001339,C
136,20001347,A+
137,20001355,C-
138,20001363,C-
139,20001371,A
140,20001381,A+
141,20001398,A
142,20001401,B
143,20001411,A
144,20001428,B
145,20001436,B+
146,20001444,B+
147,20001452,A
148,20001462,A
149,20001479,B
150,20001487,B
151,20001495,A+
152,20001509,A+
153,20001517,B-
154,20001525,A
155,20001533,A
156,20001541,A
157,20001551,A+
158,20001568,A
159,20001576,A-
160,20001584,C+
161,20001592,F
162,20001606,A
163,20001614,D+
164,20001622,C-
165,20001632,B+
166,20001649,C+
167,20001657,A
168,20001665,A
169,20001673,A+
170,20001681,A
171,20001691,A-
172,20001703,B-
173,20001711,A
174,20001721,B-
175,20001738,A
176,20001746,B+
177,20001754,B
178,20001762,A+
179,20001772,A-
180,20001789,B
181,20001797,A+
182,20001802,C
183,20001819,A
184,20001827,A-
185,20001835,A
186,20001843,B-
187,20001851,B+
188,20001861,C
189,20001878,A
190,20001886,D
191,20001894,A
192,20001908,A+
193,20001916,A
194,20001924,A
195,20001932,A
196,20001942,A
197,20001959,A
198,20001967,B-
199,20001975,B-
200,20001983,B+
201,20001991,C-
202,20002009,A+
203,20002017,B-
204,20002025,A+
205,20002033,A+
206,20002041,A+
207,20002051,A+
208,20002068,A
209,20002076,A-
210,20002084,A
211,20002092,B+
212,20002106,B+
213,20002114,A
214,20002122,A-
215,20002132,A
216,20002149,A
217,20002157,A
218,20002165,A+
219,20002173,F
220,20002181,A+
221,20002191,A
222,20002203,A
223,20002211,A
224,20002221,C
225,20002238,C+
226,20002246,C-
227,15000062,F
228,17001005,C
229,17001145,C+
230,17001536,E
231,18000037,E
232,18000207,C-
233,18000215,F
234,18001319,C-
235,18001351,D
236,18001531,C+
237,18001892,C
238,19000342,F
239,19000502,C-
240,19000634,D
241,19001282,F
242,19001304,A-
243,19001509,F
244,19001703,F
245,19001843,B+
