#,Index No,Result
1,19000138,F
2,19001363,C-
3,20000014,A+
4,20000022,A+
5,20000032,D
6,20000049,A
7,20000057,B
8,20000065,B+
9,20000073,A
10,20000081,B
11,20000091,B-
12,20000103,A
13,20000111,B-
14,20000121,E
15,20000138,B
16,20000146,A
17,20000154,B+
18,20000162,A
19,20000172,B+
20,20000189,B
21,20000197,B+
22,20000202,B+
23,20000219,B+
24,20000227,B-
25,20000235,D+
26,20000243,C
27,20000251,B+
28,20000261,E
29,20000278,C-
30,20000286,A
31,20000294,B-
32,20000308,B+
33,20000316,A-
34,20000324,C
35,20000332,B-
36,20000342,C+
37,20000359,C+
38,20000367,A
39,20000375,A
40,20000383,B-
41,20000391,B+
42,20000405,C-
43,20000413,A
44,20000421,C+
45,20000431,B+
46,20000448,A-
47,20000456,C+
48,20000464,D
49,20000472,B
50,20000482,B+
51,20000499,A
52,20000502,B-
53,20000512,A
54,20000529,B+
55,20000537,A-
56,20000545,A
57,20000553,A-
58,20000561,F
59,20000571,B
60,20000588,B-
61,20000596,B-
62,20000601,B-
63,20000618,A-
64,20000626,C+
65,20000634,B+
66,20000642,B-
67,20000652,C
68,20000669,B+
69,20000677,C
70,20000685,B-
71,20000693,B
72,20000707,C
73,20000715,B+
74,20000723,A-
75,20000731,C
76,20000741,A
77,20000758,B
78,20000766,B
79,20000774,B-
80,20000782,A
81,20000792,A+
82,20000804,A
83,20000812,C+
84,20000822,B-
85,20000839,B-
86,20000847,B+
87,20000855,C
88,20000863,C
89,20000871,F
90,20000881,B-
91,20000898,D
92,20000901,B+
93,20000911,B-
94,20000928,B+
95,20000936,C-
96,20000944,C+
97,20000952,C+
98,20000962,B
99,20000979,C-
100,20000987,B+
101,20000995,B
102,20001002,B
103,20001012,E
104,20001029,B
105,20001037,B+
106,20001045,A-
107,20001053,B+
108,20001061,A-
109,20001071,B
110,20001088,F
111,20001096,C+
112,20001101,C+
113,20001118,B+
114,20001126,C+
115,20001134,A
116,20001142,C+
117,20001152,D+
118,20001169,B-
119,20001177,B-
120,20001185,A-
121,20001193,B+
122,20001207,B+
123,20001215,B-
124,20001223,A
125,20001231,A-
126,20001241,C-
127,20001258,B+
128,20001266,A-
129,20001274,E
130,20001282,F
131,20001292,A
132,20001304,C+
133,20001312,B+
134,20001322,B-
135,20001339,C
136,20001347,A-
137,20001355,C
138,20001363,C
139,20001371,B+
140,20001381,A
141,20001398,B-
142,20001401,B-
143,20001411,B+
144,20001428,C-
145,20001436,B
146,20001444,C+
147,20001452,B
148,20001462,B+
149,20001479,C
150,20001487,B-
151,20001495,A+
152,20001509,A
153,20001517,C
154,20001525,A
155,20001533,B-
156,20001541,B+
157,20001551,A-
158,20001568,B
159,20001576,C
160,20001584,C+
161,20001592,F
162,20001606,C+
163,20001614,D
164,20001622,D+
165,20001632,B
166,20001649,D+
167,20001657,B-
168,20001665,A
169,20001673,B
170,20001681,A-
171,20001691,B+
172,20001703,B-
173,20001711,A-
174,20001721,C+
175,20001738,A-
176,20001746,A-
177,20001754,B-
178,20001762,A
179,20001772,B-
180,20001789,B-
181,20001797,A
182,20001802,F
183,20001819,B+
184,20001827,B+
185,20001835,A-
186,20001843,B-
187,20001851,B-
188,20001861,D
189,20001878,B
190,20001886,E
191,20001894,B+
192,20001908,B+
193,20001916,B+
194,20001924,A
195,20001932,B-
196,20001942,B
197,20001959,A
198,20001967,C
199,20001975,B-
200,20001983,C+
201,20001991,D+
202,20002009,A-
203,20002017,B-
204,20002025,A
205,20002033,A
206,20002041,A+
207,20002051,A
208,20002068,A-
209,20002076,B+
210,20002084,B+
211,20002092,C+
212,20002106,C-
213,20002114,B-
214,20002122,B
215,20002132,B
216,20002149,B
217,20002157,B+
218,20002165,B-
219,20002173,F
220,20002181,B-
221,20002191,A-
222,20002203,B
223,20002211,B
224,20002221,D+
225,20002238,B-
226,20002246,C+
227,17001005,C
228,17001536,F
229,18001351,C
230,19000022,C-
231,19000308,F
232,19000342,F
233,19000545,F
234,19000561,B
235,19000571,F
236,19000634,C
237,19000652,C
238,19000855,F
239,19001012,D+
240,19001282,F
241,19001304,F
242,19001509,C-
243,19001525,C
244,19001703,F
245,19001843,C+
246,19001878,F
